,Base Model,,With Biological Information,
,Adam,AdamW,Adam,AdamW
,ProtBERT,,ProtBERT,
Accuracy,0.7952,0.7654,0.716,0.9181
ROC-AUC Score,0.5002,0.5023,0.8043,0.9266
F1 Score,0.0185,0.0094,0.6172,0.8443
,MITNet,,BioMITNet,
Accuracy,0.8564,0.8583,0.9501,0.9636
ROC-AUC Score,0.7848,0.7871,0.9654,0.9749
F1 Score,0.7063,0.7101,0.917,0.9382
,Relso-CNN hybrid,,Bio RELSO-CNN Hybrid,
Accuracy,0.9317,0.9489,0.9452,0.9587
ROC-AUC Score,0.6532,0.7073,0.9252,0.9241
F1 Score,0.4972,0.4908,0.7619,0.7561
